player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Jared Dudley,BRK,-0.603421596,10.48417074,9.88074914,-1.272885896,8.98329136,7.710405465
Jared Dudley,BRK,-1.001061671,2.101590005,1.100528334,-0.715210465,1.416031702,0.700821236
Kris Dunn,CHI,-1.592915729,-0.219146607,-1.812062336,-1.954533821,0.345470701,-1.60906312
Kevin Durant,GSW,7.270023436,-0.523203527,6.74681991,4.990915873,-0.346569494,4.644346379
Kevin Durant,GSW,4.253847038,-0.425267718,3.828579319,5.719840074,-0.698417027,5.021423047
Trevon Duval,MIL,11.64857142,-5.850071763,5.798499656,11.0942602,-2.216328883,8.877931318
Vincent Edwards,HOU,-0.963533577,-1.657243584,-2.620777161,-3.466179857,-5.719376417,-9.185556274
Henry Ellenson,NYK,-1.144563083,-5.406607622,-6.551170705,-1.366140467,-3.117699692,-4.483840159
Henry Ellenson,DET,2.188890684,6.828083625,9.016974308,2.014204018,3.727034584,5.741238602
Wayne Ellington,DET,-0.849220189,-2.043676341,-2.89289653,1.233235157,-5.967188347,-4.733953189
Wayne Ellington,DET,0.375609398,1.15027053,1.525879929,0.917121117,0.579669004,1.496790121
Wayne Ellington,MIA,0.309763076,-1.207397683,-0.897634607,-0.265927368,-0.720222878,-0.986150245
Joel Embiid,PHI,1.290989784,11.6436811,12.93467088,3.88931484,10.77587947,14.66519431
Joel Embiid,PHI,2.476642778,3.502337814,5.978980593,3.272134093,2.773189841,6.045323934
James Ennis III,PHI,0.87216215,-2.897391785,-2.025229635,1.360975884,-4.189862426,-2.828886542
James Ennis III,HOU,-1.395244189,-1.056272435,-2.451516624,-0.990719121,-0.210418887,-1.201138008
James Ennis III,PHI,-2.796923816,-3.020437419,-5.817361235,-3.162046974,-1.897465093,-5.059512067
Drew Eubanks,SAS,-2.180085312,-1.039637438,-3.21972275,-4.210874417,-3.016260178,-7.227134595
Jawun Evans,PHO,-4.899932843,2.055526053,-2.844406791,-7.446145459,-0.99730621,-8.443451669
Jawun Evans,OKC,-38.81718553,4.313439457,-34.50374608,-24.21380776,7.130121492,-17.08368627
Jacob Evans,GSW,-5.144555988,0.982103408,-4.16245258,-5.032403003,-2.850331952,-7.882734956
Jacob Evans,GSW,-4.652442023,-3.507743836,-8.160185859,-4.206206684,-2.905901692,-7.112108376
Tyreke Evans,IND,2.16886825,-2.512042632,-0.343174382,1.32497833,-2.301381072,-0.976402742
Tyreke Evans,IND,-0.526476466,0.484554057,-0.041922409,-0.957791517,0.24914425,-0.708647266
Dante Exum,UTA,-0.213671447,-0.353082366,-0.566753813,-1.063445661,-0.008908832,-1.072354493
Kenneth Faried,HOU,2.928958124,0.586544896,3.51550302,2.585176039,1.076020787,3.661196826
Kenneth Faried,HOU,0.138710159,0.150007342,0.288717501,0.519037263,0.168016137,0.6870534
Kenneth Faried,BRK,0.453639549,0.848950215,1.302589764,-0.64289571,-0.980136826,-1.623032536
Derrick Favors,UTA,1.685218523,13.60954247,15.29476099,-0.818928716,13.46737382,12.6484451
Derrick Favors,UTA,0.236892082,3.494396945,3.731289027,0.123516512,3.512401792,3.635918304
Cristiano Felicio,CHI,-2.968830862,-3.916824125,-6.885654986,-3.583780949,-3.820271907,-7.404052856
Raymond Felton,OKC,-4.374784999,10.28996512,5.915180123,-7.98907712,11.21449427,3.225417146
Raymond Felton,OKC,-0.950797979,-0.101288275,-1.052086254,-2.665778938,0.094352669,-2.571426269
Terrance Ferguson,OKC,-2.975425978,-3.20780539,-6.183231367,-5.333158494,-3.225221582,-8.558380076
Terrance Ferguson,OKC,-2.111278361,-1.24062321,-3.351901571,-2.168224817,-0.072418208,-2.240643024
Yogi Ferrell,SAC,0.934486521,0.029420249,0.96390677,0.004709357,-0.691200258,-0.686490901
Dorian Finney-Smith,DAL,-2.126347719,1.765278225,-0.361069494,-2.216193706,1.638862442,-0.577331265
Bryn Forbes,SAS,0.520289542,-1.299281842,-0.778992301,-0.15389319,-0.45761944,-0.61151263
Bryn Forbes,SAS,0.277800897,-2.704427312,-2.426626416,0.079535623,-1.708316437,-1.628780815
Evan Fournier,ORL,-4.320146724,1.204573365,-3.115573358,-3.738167909,-0.191767915,-3.929935824
Evan Fournier,ORL,0.007607697,0.062459808,0.070067505,0.636954686,-0.066890632,0.570064054
De'Aaron Fox,SAC,2.271922831,-0.575866372,1.69605646,1.615251111,0.359167853,1.974418964
Melvin Frazier Jr.,ORL,-5.020808038,4.461209741,-0.559598297,-4.701119765,4.154498394,-0.54662137
Melvin Frazier Jr.,ORL,-7.844726312,-1.154575549,-8.999301861,-8.391440498,-0.802575265,-9.194015763
